correctness,eye_contact,posture,fluency,speech_rate,pause_count,filler_count,smile_score,head_stability,confidence_label
74,49,75,96,144,20,14,10,100,66.47
41,58,99,37,108,15,2,42,22,48.11
99,64,98,49,152,6,3,28,64,68.26
82,42,42,89,136,19,14,62,62,65.3
58,71,55,52,122,12,11,18,39,52.77
95,68,80,41,158,13,10,35,61,64.31
66,40,67,72,98,5,13,51,84,59.89
74,88,81,76,86,10,6,70,87,72.08
64,41,55,41,122,18,4,46,65,53.48
92,42,83,86,83,10,15,58,26,63.6
85,40,83,74,102,17,11,66,45,64.22
64,83,58,65,93,13,2,39,36,57.37
42,59,74,80,126,20,15,47,83,60.45
62,36,51,70,153,9,8,16,69,52.27
77,81,62,30,132,1,3,26,23,56.71
82,33,30,100,173,17,8,70,54,60.88
47,53,65,79,122,13,8,27,47,54.1
99,58,45,76,138,3,4,26,58,66.78
87,75,77,68,83,10,1,21,55,63.48
57,82,100,30,137,12,5,79,63,64.09
47,53,48,47,174,4,13,51,52,47.07
49,41,56,68,88,20,11,38,52,48.18
82,91,44,31,131,6,4,53,73,65.44
57,32,36,72,161,11,5,46,77,52.22
72,88,40,97,161,3,0,97,41,70.36
41,73,35,71,104,20,6,25,33,47.83
78,57,80,78,88,12,5,41,88,65.99
62,98,71,82,175,9,10,48,34,62.83
46,58,32,39,171,14,2,15,31,39.29
86,67,48,96,87,7,6,93,66,72.02
43,80,96,74,87,15,12,76,28,58.86
99,100,44,100,177,8,5,33,63,73.71
40,39,85,79,91,16,11,35,97,54.8
80,65,52,72,85,14,4,52,44,60.35
57,91,42,72,157,17,10,69,82,64.59
96,80,85,56,111,14,8,93,87,78.42
85,96,55,37,85,15,7,57,64,63.71
52,98,54,49,161,14,1,75,93,63.71
94,74,76,92,155,14,12,64,94,78.64
58,64,82,55,93,12,11,97,84,64.37
90,72,52,85,98,17,11,64,79,71.62
98,62,48,57,131,16,4,35,59,65.89
55,67,83,51,95,15,2,69,64,59.06
85,84,55,54,144,5,6,73,62,69.28
82,52,59,47,166,14,0,30,76,57.83
78,52,74,73,161,18,14,49,70,63.63
81,36,79,77,163,5,10,18,76,60.85
70,50,69,74,156,16,6,29,36,56.3
67,70,95,54,137,17,8,15,94,64.38
96,67,35,74,154,13,1,49,22,62.94
94,53,48,47,143,16,3,97,54,66.56
40,54,74,78,177,15,1,28,42,49.03
58,54,45,83,152,0,9,28,53,55.27
55,84,47,63,168,12,5,30,89,58.14
71,77,68,60,89,19,1,69,92,66.51
70,44,33,92,119,8,12,18,45,55.92
43,45,44,81,148,4,3,88,37,54.57
86,31,42,33,121,12,9,70,27,53.56
42,92,38,40,178,4,12,51,32,47.24
75,42,41,66,153,8,3,80,21,56.55
93,85,89,52,119,6,4,32,48,69.34
53,80,98,60,129,19,11,64,100,69.56
84,31,54,42,171,9,6,79,86,59.36
97,93,98,88,139,18,13,71,35,80.1
63,97,44,84,114,13,0,92,26,67.11
69,78,45,80,151,17,11,89,61,67.62
56,92,74,36,106,9,1,45,44,56.81
45,53,47,35,108,16,13,33,94,48.91
65,57,32,67,140,13,2,99,67,63.22
60,83,85,88,151,18,3,95,78,73.75
46,38,30,58,142,7,7,77,54,50.45
98,32,36,56,80,15,5,80,63,60.05
62,70,71,62,129,3,4,68,100,68.93
74,77,34,77,175,2,3,56,81,64.08
74,43,92,90,110,16,11,33,42,62.45
57,79,99,56,94,17,3,17,98,61.73
42,91,76,90,111,19,0,22,20,56.98
73,91,100,60,143,5,13,17,73,68.19
41,85,90,51,114,4,15,59,62,59.73
56,87,31,33,164,6,1,15,100,53.0
78,98,98,49,143,15,2,46,92,73.36
44,71,86,95,88,10,3,95,83,67.74
61,51,63,84,108,5,10,27,90,60.95
40,30,33,33,161,10,10,41,52,38.45
67,84,89,99,141,15,1,96,75,78.63
88,42,85,47,133,12,0,52,58,64.19
100,71,47,52,133,18,13,67,87,72.45
42,100,47,36,119,5,5,74,87,60.35
85,78,81,58,100,13,8,56,95,71.3
81,80,85,80,149,19,7,36,57,69.44
47,94,83,53,126,6,2,95,82,69.18
96,84,89,91,109,10,3,38,60,76.49
81,94,60,59,97,16,5,23,98,67.42
85,85,51,96,135,18,8,53,54,73.0
89,30,81,99,116,0,2,10,40,63.26
92,45,90,83,119,15,11,74,93,76.13
82,46,88,52,86,11,4,80,98,66.99
73,75,97,45,150,18,1,19,69,62.19
100,41,99,51,111,8,3,10,73,64.8
86,87,99,47,85,12,0,32,42,64.04
65,36,73,56,105,0,14,45,74,56.47
66,86,98,90,81,0,15,96,57,72.8
94,58,55,64,158,2,6,38,53,63.42
72,70,70,52,150,2,9,41,50,60.16
57,72,36,30,140,13,3,15,29,46.1
46,59,50,89,160,0,9,72,61,58.82
90,93,85,70,111,14,13,36,47,71.17
56,93,88,87,81,3,1,80,32,65.99
54,89,51,92,169,0,10,83,44,64.35
76,77,72,67,120,12,7,49,36,64.8
63,86,31,91,167,8,3,90,36,64.0
92,79,69,87,154,20,4,27,74,71.82
68,53,46,47,121,15,3,54,36,54.19
48,43,78,58,174,3,1,29,66,49.94
82,38,56,44,171,4,6,28,71,53.96
65,55,55,75,171,16,1,62,22,55.05
41,71,48,46,112,11,0,65,82,55.17
42,78,84,55,178,7,3,16,65,51.88
85,45,53,90,133,0,0,34,29,62.8
93,45,87,58,171,5,15,29,99,65.65
46,72,55,100,112,12,3,72,86,66.38
91,97,55,31,93,11,13,58,31,62.06
65,73,62,42,157,1,11,35,40,54.25
67,77,69,95,152,14,12,32,100,69.79
87,31,49,88,125,2,6,21,59,61.82
41,45,63,73,85,12,15,31,37,45.89
51,81,80,100,175,15,2,15,46,59.01
92,77,36,88,148,10,14,73,22,68.47
97,98,52,82,116,8,14,12,89,74.63
56,55,50,50,90,5,7,97,54,55.56
94,43,43,39,91,5,11,43,60,56.13
49,46,46,96,141,18,0,21,23,50.91
81,42,33,98,98,1,11,90,93,69.4
73,35,37,80,90,11,8,11,27,48.51
97,40,82,39,164,19,15,17,55,57.23
68,43,83,50,129,6,3,97,26,61.21
48,30,55,67,117,11,5,53,93,54.92
94,91,35,46,130,17,5,33,70,67.24
49,50,99,86,118,0,10,27,75,61.35
67,86,77,71,106,9,13,61,61,67.27
71,55,54,52,177,19,7,96,50,58.39
46,62,31,47,126,0,4,93,54,55.17
90,47,59,73,132,9,6,61,68,68.71
50,95,87,65,112,14,12,49,87,66.34
81,48,48,87,102,15,0,21,43,58.45
73,82,37,47,136,15,4,35,49,58.57
93,42,58,32,169,7,10,67,95,62.04
41,57,31,36,105,11,15,32,59,43.27
99,61,44,42,84,10,9,61,96,65.22
80,82,79,44,86,7,11,41,34,59.47
87,99,94,33,90,11,9,70,56,69.04
62,69,52,45,173,3,7,89,50,57.17
92,54,73,41,169,4,15,18,31,55.13
44,83,83,57,135,2,4,86,77,65.96
53,71,67,97,132,0,6,65,91,70.43
76,80,72,44,117,14,4,92,73,69.5
90,39,41,33,174,17,15,45,44,51.09
62,65,96,38,140,20,1,52,54,59.53
96,33,70,74,129,14,11,51,99,71.31
51,98,30,68,175,16,15,100,54,60.77
85,71,68,78,141,5,6,31,23,64.43
88,88,97,100,166,1,0,97,50,80.97
86,69,77,80,122,1,6,97,68,77.1
99,86,44,56,147,15,15,39,55,67.4
42,78,84,85,147,11,14,67,72,64.94
59,52,57,45,116,20,14,26,56,50.92
52,48,59,74,97,13,13,45,71,54.85
58,73,36,73,147,1,1,78,74,63.45
49,71,70,98,89,9,5,100,79,68.03
90,50,37,94,171,16,6,87,49,66.7
60,78,38,46,148,19,12,49,57,55.39
82,92,48,79,112,12,13,71,62,71.83
88,65,39,35,136,0,6,67,40,60.88
67,85,49,83,104,4,7,30,37,60.69
86,99,86,48,176,0,12,12,61,64.61
60,69,96,54,134,19,3,53,75,64.82
94,99,95,48,162,6,5,72,61,74.87
81,88,49,46,106,14,1,72,81,67.71
75,48,46,98,118,17,4,80,100,71.46
78,65,69,74,83,5,8,78,49,64.94
51,97,58,97,130,13,4,27,61,65.98
96,41,46,59,167,10,2,32,100,62.76
40,61,38,44,107,2,5,36,95,50.19
59,94,78,30,89,14,10,68,81,61.33
78,47,75,61,106,17,10,48,68,61.69
68,73,83,63,150,3,1,47,78,66.09
48,80,64,34,93,3,6,93,83,59.19
64,57,95,51,110,15,3,47,74,61.29
43,30,36,86,174,11,9,14,69,45.14
81,41,47,95,153,14,13,26,87,63.67
46,91,70,63,149,17,5,54,77,62.19
90,63,73,44,157,5,1,41,86,65.68
42,80,96,77,96,6,12,75,23,59.63
49,46,81,35,162,4,15,83,28,49.98
66,50,53,33,103,2,2,77,59,55.05
87,83,64,85,168,7,12,77,65,73.3
53,42,56,35,96,3,7,90,21,47.87
96,81,95,81,171,10,10,99,41,77.2
86,84,96,89,137,11,7,78,58,79.48
52,70,86,82,91,12,7,83,76,65.9
79,74,64,32,84,10,13,80,75,62.39
49,63,96,60,154,12,6,75,89,63.82
80,92,61,49,136,1,1,89,44,69.9
51,100,68,46,124,10,5,32,89,62.55
77,31,66,78,131,0,5,14,37,57.1
77,66,93,39,158,9,10,57,63,63.03
57,45,83,64,177,1,13,22,60,52.11
55,88,98,82,124,19,7,70,77,72.44
84,56,55,36,121,14,4,68,57,61.4
44,82,44,55,127,18,8,73,73,59.55
100,80,68,33,82,19,10,67,94,69.28
66,50,68,75,145,3,10,91,84,67.76
74,64,60,57,80,10,5,93,86,65.15
90,31,93,98,88,1,1,69,80,71.8
70,39,65,78,149,15,0,12,93,59.7
44,90,55,34,94,15,0,25,56,49.15
42,81,76,42,159,10,4,75,73,58.07
66,67,87,91,125,10,7,17,90,68.66
77,50,92,93,99,7,9,55,50,66.91
89,38,44,55,89,15,3,93,56,60.89
61,100,52,70,172,15,5,37,67,61.6
77,60,43,58,130,16,10,81,24,61.07
81,36,71,65,106,13,1,34,92,62.29
92,56,30,71,131,2,5,67,89,70.39
92,95,87,31,155,4,3,33,84,69.62
40,30,32,75,134,10,7,95,83,55.91
83,74,55,94,103,9,2,33,47,66.44
75,45,88,83,158,15,14,20,84,63.62
54,97,72,98,178,12,9,84,60,69.01
81,79,100,88,118,2,11,16,68,72.22
65,62,77,31,150,3,3,45,51,55.35
67,30,89,85,114,15,13,63,55,62.39
96,84,87,94,148,18,5,97,72,83.86
75,65,97,65,131,20,1,59,99,73.03
80,47,51,95,100,3,15,53,66,64.91
78,58,83,46,159,18,8,87,68,65.3
76,31,77,43,138,0,2,67,77,61.36
86,80,31,70,162,4,1,25,23,58.56
51,58,36,43,91,2,4,90,51,51.56
49,72,98,74,88,16,0,27,28,54.77
96,58,54,44,85,9,12,88,23,60.79
57,86,78,73,159,10,13,12,81,61.74
81,93,74,87,99,15,8,66,96,77.14
43,81,66,37,123,1,11,14,88,54.3
70,74,38,61,112,2,13,85,48,62.73
42,86,59,38,105,1,13,12,65,49.91
43,54,80,42,123,2,6,96,28,54.67
41,90,70,73,143,11,14,11,96,60.49
85,98,87,73,153,10,14,98,53,77.82
76,59,100,99,134,2,12,12,45,67.7
96,53,82,99,122,16,9,85,85,80.54
50,47,81,75,123,20,10,39,27,54.0
73,86,49,54,98,4,10,88,91,68.53
58,56,69,55,106,18,15,59,61,56.81
68,68,89,70,112,18,4,92,35,66.88
62,36,55,41,151,4,9,78,68,54.75
65,34,51,42,107,0,10,32,37,47.15
89,59,55,45,156,6,0,35,67,60.77
40,67,31,35,125,17,5,97,37,50.69
66,70,46,91,108,5,13,31,25,58.24
65,68,41,43,101,18,6,57,90,58.14
79,79,42,39,134,8,14,61,21,58.93
64,42,80,87,113,2,5,12,78,60.49
45,77,93,48,146,17,6,82,95,64.77
44,96,40,97,148,0,10,72,48,63.95
57,41,70,31,116,12,15,57,43,49.99
74,51,40,87,125,2,15,24,79,62.64
70,71,72,78,143,18,1,33,85,66.99
77,60,55,58,146,13,15,34,67,60.26
40,82,96,47,88,5,6,30,84,55.88
60,56,99,73,179,12,0,49,22,56.09
51,95,75,59,148,8,4,20,88,62.03
74,95,60,62,118,13,4,69,50,68.28
50,31,56,31,180,20,9,14,71,40.12
84,49,90,67,99,17,8,11,51,59.83
65,99,70,96,176,0,2,14,32,62.46
58,41,77,54,136,18,2,85,24,56.17
73,51,86,76,133,2,11,62,50,66.52
44,62,79,45,155,12,12,48,65,53.15
71,76,73,38,166,17,12,69,34,58.1
75,92,98,70,153,17,0,27,26,65.34
43,98,89,84,95,2,15,99,48,67.79
62,43,78,62,104,20,0,32,76,56.65
82,87,43,49,109,18,4,65,96,68.58
57,52,91,62,97,8,0,41,80,59.01
93,46,48,99,178,4,1,93,44,68.56
43,40,45,90,173,16,15,16,35,44.77
74,45,69,41,114,16,4,59,62,58.24
75,46,61,70,85,19,8,75,28,57.32
67,82,90,67,82,19,5,64,20,61.03
76,99,74,76,158,12,9,23,73,68.91
46,75,60,88,174,9,15,26,33,52.88
79,65,87,53,142,19,1,27,56,62.66
65,38,93,49,133,9,5,92,49,62.03
92,92,40,60,128,15,6,96,38,72.43
51,44,60,72,180,4,14,38,45,49.05
83,31,44,33,165,17,5,32,78,51.64
65,57,95,37,108,10,4,27,74,57.37
89,43,38,40,142,11,11,76,72,61.55
78,85,57,68,104,20,9,52,34,63.37
58,77,50,89,175,17,6,22,88,60.27
43,38,64,50,137,17,0,81,100,57.24
82,35,96,41,179,11,12,75,21,55.63
54,52,58,36,173,13,11,39,100,51.49
71,99,35,56,161,4,7,33,53,59.74
79,76,53,94,97,11,11,66,47,68.0
79,100,52,63,90,9,2,51,47,64.89
98,53,37,82,151,3,10,14,68,64.26
73,59,92,76,105,4,1,16,59,62.56
67,68,91,82,83,9,1,34,26,59.36
77,57,98,96,174,14,9,29,30,62.9
79,96,36,52,140,6,13,43,38,62.21
97,38,77,70,127,12,9,34,97,70.41
83,54,48,68,158,15,10,83,82,66.9
43,48,57,62,89,18,13,31,22,43.35
76,77,31,83,85,10,10,49,21,58.1
48,31,84,89,176,14,5,28,46,50.68
40,62,69,61,148,16,13,17,76,52.11
81,38,64,100,158,20,5,93,44,67.55
42,91,84,75,103,1,13,31,30,56.91
87,37,68,64,128,13,5,17,73,62.01
76,69,63,46,112,14,13,61,99,66.07
68,38,62,89,172,12,4,67,88,63.11
49,35,42,94,99,14,13,17,29,46.62
48,96,40,41,89,16,0,98,30,54.77
93,65,68,82,169,13,6,65,20,66.19
95,33,59,41,114,12,3,40,87,61.43
91,36,51,85,176,6,11,16,74,60.0
78,91,84,65,168,11,0,11,32,61.47
70,57,89,56,94,7,14,42,39,57.36
81,41,52,43,170,12,6,94,50,57.97
76,83,34,42,107,10,8,56,90,62.99
77,96,91,68,116,17,5,17,100,72.64
91,62,71,56,87,9,12,73,39,63.94
55,46,48,37,117,5,4,99,50,54.37
83,89,46,68,121,15,11,98,37,70.83
54,35,72,64,177,5,7,63,81,54.96
44,45,37,60,89,11,4,79,39,47.74
44,52,38,87,138,15,5,55,41,53.9
47,49,80,68,116,17,1,84,52,58.97
70,83,73,63,150,16,5,71,42,65.42
85,85,36,90,82,5,3,43,63,66.69
83,59,46,88,89,2,3,27,64,62.28
83,88,91,88,128,3,14,96,51,80.38
49,40,99,91,126,1,3,26,73,61.21
51,69,48,96,161,20,2,73,66,62.46
45,45,47,81,127,10,6,58,31,53.03
84,39,100,84,80,16,3,30,56,62.51
91,53,84,54,86,9,0,80,90,69.53
97,53,40,41,114,3,3,66,32,60.4
62,68,41,63,150,10,14,71,32,56.97
70,31,44,86,154,1,6,77,94,64.0
68,95,45,68,156,4,0,30,63,62.53
99,48,100,37,156,4,1,50,94,69.16
63,99,90,55,150,6,2,79,48,68.33
82,95,48,97,137,5,0,66,56,75.45
100,59,100,54,176,0,2,15,37,62.51
49,40,94,94,131,2,1,87,50,65.27
66,46,84,65,180,20,0,95,44,59.85
41,34,33,65,85,19,4,86,45,46.35
94,68,62,43,135,3,0,30,65,65.26
55,45,58,37,167,2,8,28,85,49.23
54,51,75,42,112,4,9,86,46,56.05
96,53,96,92,173,2,15,72,97,77.59
51,57,73,72,96,7,0,94,76,62.79
62,93,86,99,179,11,10,32,46,65.27
97,66,35,94,85,17,5,97,44,70.74
100,80,77,99,178,9,0,69,65,77.88
75,87,67,40,91,9,1,48,90,64.11
