fluency,correctness,eye_contact,posture,head_stability,readiness
50.64,71.68,82.79,74.82,71.68,64.72
93.12,77.62,45.53,98.66,87.12,77.6
69.54,91.17,80.41,61.66,72.24,75.21
74.72,86.51,69.1,75.25,69.28,77.33
78.29,58.25,72.3,91.01,50.33,73.92
82.42,94.66,79.12,58.07,66.58,78.05
77.46,45.09,46.07,40.16,73.19,53.21
57.25,30.39,80.8,64.59,64.91,56.35
82.34,55.34,43.01,69.76,93.46,71.1
69.83,77.62,95.34,67.97,89.37,82.17
70.24,31.89,87.3,85.21,86.24,65.15
55.14,38.57,75.75,75.84,45.66,49.72
88.57,96.78,91.33,75.2,88.62,85.98
40.59,42.26,48.47,90.1,49.8,51.11
72.34,31.89,56.0,42.83,97.22,51.76
52.49,93.62,87.88,51.04,82.61,78.17
65.56,50.53,90.51,92.93,97.43,75.04
90.19,50.7,83.41,86.82,47.86,71.75
45.53,79.51,91.37,98.51,60.35,77.24
71.05,63.74,60.23,60.55,47.7,66.93
59.63,89.75,40.49,56.45,94.41,69.62
45.94,86.93,67.14,93.99,62.42,73.45
98.16,50.47,49.3,88.81,89.86,68.93
54.35,79.44,92.89,74.34,93.46,72.47
77.27,57.27,78.21,84.79,96.2,70.34
66.08,80.39,40.65,57.95,59.48,67.52
91.29,83.15,47.59,96.33,74.68,85.24
72.91,91.82,91.3,65.17,50.58,74.78
60.57,47.2,60.39,63.69,93.29,59.31
46.43,87.22,81.14,99.73,54.76,76.71
75.64,48.25,80.19,58.19,98.37,70.95
68.39,58.77,96.4,75.6,67.8,67.13
57.32,82.16,71.17,44.18,81.75,69.47
58.85,37.23,98.58,56.31,71.83,54.38
88.27,83.09,90.75,56.82,99.39,82.43
57.77,99.77,49.83,62.55,75.28,76.93
46.5,97.14,42.13,85.56,88.3,77.71
87.01,75.7,71.37,46.14,46.11,74.58
59.48,55.31,85.6,87.79,77.34,64.13
86.9,50.64,80.27,72.77,97.47,68.76
72.66,76.98,68.76,97.24,70.15,79.02
59.79,39.43,61.71,38.33,93.01,48.76
90.07,80.37,94.26,59.04,69.0,76.24
83.09,35.03,93.6,82.71,87.91,68.56
45.28,42.37,97.79,47.83,82.76,60.77
52.51,40.24,92.73,67.33,67.09,57.28
69.62,49.74,57.92,58.69,93.62,64.52
78.09,94.85,73.59,87.23,74.03,82.14
56.1,38.73,40.52,50.98,51.8,47.72
97.39,71.54,64.05,97.11,51.95,79.68
54.84,35.56,81.24,92.62,87.7,57.93
60.74,76.14,85.92,48.73,56.77,63.25
66.76,42.48,65.73,77.94,51.19,56.62
44.71,33.78,55.33,77.0,90.28,52.07
82.44,51.89,55.75,94.93,93.06,70.19
94.98,93.59,74.61,73.86,51.16,78.97
41.92,75.97,97.66,50.01,58.33,66.94
62.35,66.81,95.95,92.76,78.81,79.81
95.94,35.64,68.2,36.06,47.62,61.17
43.79,52.98,47.83,39.49,66.95,53.03
93.34,34.12,74.45,67.98,81.62,69.24
87.21,78.9,64.4,59.77,78.12,80.19
66.7,91.79,83.39,35.32,65.43,75.95
53.48,66.38,53.95,35.27,74.85,60.41
55.24,84.84,59.13,73.7,72.77,70.1
40.59,42.27,44.35,41.16,92.35,46.68
70.43,36.48,59.15,83.11,89.61,63.25
79.12,65.62,54.27,93.23,75.57,75.07
80.29,75.64,59.12,39.31,91.0,74.79
87.79,54.45,52.13,39.73,56.82,62.84
72.43,68.98,85.79,36.2,58.73,63.64
62.16,44.2,57.62,38.39,86.36,53.41
49.38,38.11,58.91,41.19,47.95,46.96
45.45,40.84,92.16,97.41,45.04,62.3
45.85,89.53,69.33,92.42,50.1,75.22
95.19,37.75,64.78,83.34,73.38,68.74
57.89,49.26,49.39,98.76,87.02,67.4
76.94,62.05,91.15,69.41,79.54,77.74
76.2,52.14,45.91,99.35,59.5,69.38
44.67,60.54,83.83,73.3,96.8,68.8
76.16,36.15,82.09,63.64,63.45,56.98
75.68,75.71,87.9,37.18,62.14,75.33
47.48,98.06,73.69,60.28,85.57,72.59
54.83,70.96,42.83,83.13,71.48,62.42
60.99,69.98,82.24,79.94,96.99,76.19
80.52,40.99,67.6,84.53,69.19,68.42
92.18,65.4,65.81,59.43,58.37,71.15
54.27,34.61,74.73,72.09,93.69,57.46
70.51,38.0,80.42,45.42,94.61,55.37
78.88,60.49,68.76,95.36,72.42,76.82
95.87,99.57,43.11,42.12,74.11,80.54
65.1,47.19,72.4,42.47,91.35,54.47
41.35,74.85,92.35,70.05,67.96,63.97
49.53,36.03,69.56,55.46,74.66,54.83
84.42,82.63,58.61,97.71,63.41,77.25
74.26,90.0,55.82,79.12,74.03,79.36
76.53,63.25,68.04,50.14,97.98,65.94
92.68,67.85,83.68,99.84,84.09,79.12
69.47,74.26,67.16,80.47,80.78,77.52
55.2,37.36,66.82,39.27,62.26,51.55
41.85,37.19,89.75,49.34,69.1,55.85
85.35,84.55,97.15,53.17,55.84,75.79
59.4,55.9,47.25,87.32,62.68,63.54
50.63,57.32,56.75,74.25,88.72,64.91
89.11,71.59,62.28,65.19,93.1,78.53
64.95,62.26,83.08,40.42,98.11,61.5
42.55,82.42,97.05,99.43,86.49,81.6
47.9,44.24,48.13,67.97,76.3,51.48
93.79,93.81,78.47,35.24,58.01,77.47
53.77,52.59,59.88,56.2,90.57,56.0
65.6,64.99,90.31,90.63,75.9,78.27
44.14,72.72,50.06,79.28,68.12,62.54
92.5,68.57,63.53,58.07,78.79,68.96
56.67,45.14,78.55,57.77,49.89,55.14
83.51,83.46,76.09,35.9,81.66,71.68
83.69,72.93,64.14,92.45,54.01,74.88
98.18,92.28,68.91,49.74,59.49,81.5
50.05,86.64,45.75,73.58,77.55,65.63
81.26,83.52,93.77,45.65,73.79,76.43
79.5,62.09,95.91,45.81,48.32,69.27
66.68,36.98,90.44,63.71,61.88,60.54
82.98,67.94,66.57,65.06,96.99,71.29
81.32,86.0,80.45,96.44,55.89,80.52
68.87,70.83,61.93,92.62,52.47,69.2
77.3,77.64,77.93,47.4,56.97,68.9
68.09,42.52,82.77,83.85,74.89,67.3
82.7,45.45,63.22,65.88,45.63,59.85
50.56,51.21,42.92,98.42,46.31,54.55
83.44,51.32,69.87,81.59,88.01,70.56
68.75,46.92,57.07,55.35,91.35,60.6
44.05,90.07,82.23,60.38,45.46,69.97
74.5,82.81,90.34,80.06,53.32,76.45
87.17,96.67,79.36,87.34,90.81,89.31
46.28,57.47,79.09,50.74,85.35,63.95
88.02,65.06,51.82,56.65,91.7,66.57
83.38,95.74,89.24,41.0,88.2,82.08
88.16,36.22,83.45,69.3,85.54,63.39
63.75,34.79,58.08,73.84,86.03,58.7
47.31,82.54,88.04,95.68,99.74,76.55
42.17,76.55,59.95,73.6,63.94,60.35
87.49,63.93,42.72,60.18,54.56,69.44
76.08,50.62,86.19,72.3,86.76,69.04
87.48,31.75,99.0,37.9,54.41,62.31
68.11,84.96,77.57,84.93,82.52,83.54
47.53,42.28,68.81,38.53,81.49,49.49
61.08,77.02,44.91,64.21,50.88,58.78
90.11,89.71,95.56,35.77,45.34,79.41
42.81,56.39,99.56,36.07,90.49,59.17
82.68,72.79,62.72,63.39,57.22,70.32
48.43,52.53,94.35,80.72,80.1,59.88
85.63,35.93,43.28,74.83,69.56,62.82
86.62,85.62,50.46,59.51,97.1,78.6
94.13,61.77,58.55,57.2,67.79,73.15
40.37,52.63,82.73,94.65,76.11,59.88
42.86,44.89,57.6,52.62,89.56,52.79
91.15,75.07,89.34,46.77,48.86,77.8
46.73,75.41,80.01,82.85,71.63,70.72
64.02,92.33,90.59,49.14,61.05,74.31
58.92,44.01,74.4,85.99,69.39,60.14
66.04,89.45,89.92,45.99,48.87,77.47
96.6,85.24,92.46,36.56,88.27,85.23
98.98,68.02,85.69,35.05,97.21,75.61
41.65,86.15,99.63,54.08,70.43,65.84
46.56,31.91,79.12,62.16,61.26,54.69
69.12,66.74,86.07,98.56,86.86,77.63
43.33,48.14,70.98,60.57,59.02,53.26
42.47,92.8,90.78,63.83,75.33,71.48
90.45,69.14,88.22,72.04,76.37,81.15
43.52,63.42,81.89,99.17,61.74,63.72
74.06,84.92,85.05,62.66,92.53,83.95
85.2,58.56,50.98,58.4,94.18,67.09
97.33,67.95,79.89,85.5,69.44,79.96
68.41,82.32,57.43,62.0,94.39,76.92
55.37,59.94,98.76,93.78,63.74,69.15
81.71,98.31,60.99,59.77,52.68,79.97
57.18,31.56,46.44,49.65,93.64,52.93
44.28,55.58,42.16,98.73,62.13,59.65
91.2,81.95,48.3,81.45,78.16,82.06
95.63,49.37,46.51,63.62,76.43,67.49
99.48,43.14,59.38,41.45,53.98,59.65
54.0,88.98,73.28,58.5,96.53,76.68
74.83,75.83,43.79,90.51,97.84,77.73
83.96,94.37,80.62,96.61,65.4,88.11
57.15,94.97,87.58,52.91,94.91,73.71
98.64,35.68,50.93,44.54,83.21,64.0
94.99,37.03,65.62,47.98,51.11,63.0
69.7,36.7,46.9,74.67,56.68,57.14
52.67,43.09,47.6,98.11,64.0,56.07
68.62,85.37,43.08,85.84,67.02,71.04
84.64,32.13,70.53,89.1,82.54,68.92
49.71,51.15,41.18,82.96,71.07,61.0
61.34,40.21,46.77,46.34,56.49,49.75
78.03,79.55,55.9,71.56,82.99,75.21
61.77,34.67,85.81,73.38,97.83,56.93
68.79,37.13,98.58,93.55,90.68,64.84
98.52,33.73,52.31,64.69,88.18,62.61
41.29,63.32,97.49,82.05,48.85,59.99
70.34,39.7,41.22,88.76,65.92,56.64
94.27,65.7,72.09,65.66,98.09,74.13
44.65,58.81,55.64,48.74,54.2,57.82
70.44,88.25,75.65,93.35,86.11,78.84
63.79,52.37,72.12,39.64,66.48,61.7
79.24,67.46,99.74,58.73,58.72,75.81
96.45,74.19,83.63,89.3,47.34,84.95
55.18,94.02,65.26,60.43,66.69,74.72
84.13,31.53,69.11,62.26,62.58,58.89
89.78,49.87,70.97,56.06,61.09,61.55
97.0,84.76,68.55,77.78,86.87,87.11
69.97,74.38,70.53,48.81,71.41,64.21
96.24,52.53,69.68,56.28,61.74,62.63
52.65,47.38,95.38,43.22,70.82,62.26
88.14,76.36,66.74,94.35,54.31,78.28
95.87,32.93,61.64,97.42,79.88,63.06
60.06,30.15,50.99,60.43,90.34,53.14
81.27,88.25,73.8,49.01,64.11,79.45
84.24,98.37,59.44,45.08,89.52,85.11
78.84,67.55,77.76,58.33,64.16,68.8
85.85,78.24,75.7,68.7,87.48,76.83
50.47,98.18,54.19,68.74,71.55,77.46
49.71,96.77,67.91,70.07,52.24,69.18
58.31,76.7,46.31,39.39,84.24,61.71
44.0,97.91,40.04,84.13,84.93,72.66
98.88,42.47,71.44,80.61,97.73,72.51
50.85,46.42,77.69,73.33,92.17,65.57
43.19,94.36,78.13,76.57,66.02,73.74
93.18,33.4,69.94,94.67,50.23,64.88
61.78,54.8,77.84,82.41,91.02,63.42
86.77,35.85,89.09,53.17,86.9,67.67
76.09,39.71,92.89,91.85,56.69,65.95
88.57,63.62,97.09,69.43,76.1,72.87
94.72,96.83,80.7,53.08,51.01,81.79
53.63,98.64,44.18,48.28,50.49,62.6
58.16,68.56,58.19,99.1,60.7,65.59
98.41,61.9,64.83,92.96,92.8,78.09
73.9,82.14,48.35,83.01,66.25,75.77
52.41,79.68,60.4,76.58,92.67,67.0
59.42,90.94,79.1,55.99,97.7,76.97
97.18,32.79,71.99,78.56,74.44,62.17
99.17,33.84,73.57,63.67,99.18,70.63
48.65,53.0,81.85,54.18,95.96,60.82
66.77,45.33,45.89,52.31,65.12,51.81
61.97,53.3,87.26,82.05,81.71,64.75
48.25,70.28,70.14,45.47,66.52,61.73
75.98,34.26,48.64,93.13,59.7,54.79
61.26,73.36,59.86,51.12,59.63,66.18
91.87,76.42,53.76,98.79,50.14,80.15
77.37,89.99,86.8,74.27,91.65,85.28
64.87,96.97,79.97,48.66,99.73,83.14
91.99,86.59,50.95,60.88,91.47,83.62
59.13,50.15,69.46,78.65,71.85,59.41
90.33,94.99,52.56,76.38,51.1,79.05
42.68,39.01,63.15,39.03,82.13,51.4
69.03,81.43,65.97,62.16,76.08,68.81
82.92,65.75,79.95,44.07,84.38,67.05
52.87,82.9,84.99,68.92,48.58,69.13
71.1,73.54,88.9,90.28,76.84,75.85
51.63,31.11,98.16,78.78,63.7,60.02
64.01,73.43,62.72,86.48,70.75,67.11
93.48,85.59,49.57,76.96,53.77,74.25
60.07,41.48,61.37,75.85,69.6,61.03
71.31,51.3,82.4,83.83,98.82,70.14
65.96,56.88,61.74,74.48,68.16,60.55
46.57,37.28,76.13,92.2,52.82,53.42
94.68,81.7,56.87,75.39,85.84,77.6
68.85,55.82,86.24,85.74,94.67,71.98
76.08,86.22,91.11,67.38,59.17,80.11
97.53,99.85,90.12,46.94,52.33,80.27
66.16,34.1,54.18,86.41,76.34,60.8
43.96,59.68,48.7,65.97,84.2,60.67
70.96,53.27,74.41,87.6,75.79,66.55
42.87,73.51,91.51,82.38,74.39,71.89
77.71,88.12,45.33,66.5,83.17,75.32
45.94,84.37,70.93,81.96,90.02,72.08
46.27,58.17,62.89,76.5,91.89,60.01
50.78,93.8,95.51,76.35,55.64,72.39
69.35,39.5,80.71,94.15,83.94,63.3
55.36,63.69,47.25,91.51,90.55,63.31
84.53,46.79,60.89,88.16,95.25,65.27
86.1,44.77,72.0,41.95,53.07,60.12
43.41,46.24,83.6,95.56,97.85,68.63
67.03,45.87,56.1,80.83,99.32,66.89
43.47,43.05,93.09,60.4,72.69,53.17
56.03,66.19,66.41,58.78,54.77,57.22
63.62,55.11,85.07,64.57,87.05,63.5
99.22,42.95,70.64,68.67,77.27,67.24
59.03,97.99,93.74,87.26,47.36,82.81
74.76,40.53,69.66,91.31,65.2,63.75
80.5,90.32,95.18,88.47,96.27,86.38
83.77,58.24,48.07,68.33,46.07,62.89
94.1,67.81,95.76,57.62,93.87,78.37
87.81,59.02,89.22,50.3,95.49,77.83
96.24,68.39,84.24,44.31,93.85,80.08
74.21,45.79,82.45,61.52,86.67,63.8
78.23,45.47,80.78,78.47,60.74,62.08
84.22,94.2,65.95,43.84,54.53,78.19
43.8,73.41,93.14,91.07,60.97,72.24
73.13,81.3,98.74,58.98,54.85,80.29
73.27,43.7,52.05,86.02,94.48,61.02
93.43,58.42,47.15,55.25,50.22,67.34
97.72,38.85,81.39,36.31,57.1,56.75
91.14,37.0,54.1,84.8,64.85,59.14
57.4,50.69,57.19,59.09,66.67,56.51
53.34,33.76,48.01,84.36,92.98,50.73
99.45,73.14,62.35,36.25,51.2,67.71
87.38,34.24,95.65,71.89,80.41,70.88
78.68,57.33,72.54,41.43,72.91,66.64
80.0,55.54,48.09,72.75,48.03,59.52
66.1,98.59,95.88,82.72,85.02,84.81
56.75,65.96,67.3,53.75,77.29,66.35
67.76,33.57,40.33,77.06,50.82,55.55
63.87,33.29,79.32,99.97,65.93,58.44
87.1,55.82,75.08,36.02,93.44,65.64
68.54,73.76,85.68,71.64,56.87,67.98
85.57,31.6,97.25,57.82,83.96,68.38
69.04,67.48,92.48,43.34,74.87,64.73
90.14,30.95,49.36,69.16,47.07,57.37
87.02,55.09,75.09,50.29,63.68,64.76
93.47,64.99,99.56,69.86,61.24,75.23
62.45,33.18,46.39,61.14,78.45,55.6
77.56,44.94,69.24,85.7,52.02,59.32
78.41,56.53,41.84,67.04,71.34,66.6
50.77,40.26,49.7,53.8,86.15,48.3
44.77,32.41,84.39,50.74,59.87,45.04
64.46,40.73,82.79,62.26,89.72,59.04
70.27,54.61,42.38,74.75,60.71,57.59
75.56,31.66,97.56,94.34,60.63,64.16
90.86,85.78,72.26,60.86,82.46,79.5
43.85,72.74,41.9,52.89,51.84,59.7
74.29,61.85,96.31,82.47,52.71,71.71
87.43,65.36,93.44,41.59,84.25,71.85
92.35,97.07,54.72,40.2,64.75,75.59
74.4,54.23,61.82,97.05,83.97,66.58
52.96,88.3,68.06,89.58,66.67,72.33
66.49,38.67,63.53,87.65,54.91,59.64
40.87,43.36,79.11,38.42,70.06,51.12
84.08,63.72,45.98,75.18,88.66,72.32
40.49,34.73,63.94,61.86,99.33,54.28
52.43,75.74,64.41,73.31,79.62,67.07
42.3,68.01,75.63,45.71,62.16,63.69
65.83,74.88,83.24,92.19,82.28,72.72
68.79,78.21,65.25,69.66,90.26,75.4
88.89,54.33,93.02,54.38,67.42,65.88
99.53,54.8,90.84,65.03,74.92,74.02
64.75,80.67,46.49,97.45,49.11,68.61
78.63,66.69,92.28,66.91,57.06,70.19
89.87,60.72,98.31,39.65,80.31,76.4
56.29,66.42,98.33,43.57,77.75,61.58
93.22,32.19,96.62,87.8,79.25,65.34
46.15,86.52,80.21,51.12,65.68,65.36
45.14,37.32,77.78,98.11,60.16,55.58
94.6,54.81,90.66,79.14,84.36,74.06
88.94,97.82,70.66,65.78,93.95,82.53
86.7,90.04,44.78,61.3,61.82,79.88
87.94,67.34,56.25,56.08,50.92,71.33
59.6,39.82,74.18,90.1,48.61,59.6
56.29,67.07,69.18,98.04,75.45,69.88
95.75,56.95,93.43,35.38,78.24,75.58
56.85,65.8,61.28,68.73,47.2,60.57
43.34,88.76,79.07,41.37,94.96,66.16
57.6,52.1,93.61,90.01,74.53,68.25
92.66,64.27,68.0,85.14,58.26,75.24
68.49,83.24,96.56,35.56,59.52,74.83
42.74,71.46,91.16,85.67,52.7,66.47
61.5,54.72,82.44,37.08,58.6,63.28
61.39,90.21,99.49,85.3,99.74,87.59
65.96,80.11,73.0,95.57,96.01,83.1
57.37,55.28,67.3,41.73,83.91,62.09
75.86,53.6,80.75,58.51,95.72,63.45
46.5,99.2,66.65,89.53,85.61,76.91
51.7,96.05,74.57,76.75,73.16,74.21
53.41,61.78,80.8,50.66,66.29,65.8
67.25,64.83,47.38,72.54,62.37,64.11
59.17,43.12,87.2,78.08,81.78,67.78
42.51,65.26,49.98,98.76,84.15,62.19
95.84,74.03,86.06,77.2,76.37,83.0
55.5,80.4,40.51,67.75,55.49,59.2
95.34,38.59,99.04,87.85,97.95,78.72
69.71,67.47,50.77,48.51,91.19,64.84
79.51,81.39,50.42,90.87,90.47,75.52
94.45,35.0,78.49,91.75,77.84,66.94
45.59,64.77,57.27,89.81,90.13,62.35
44.56,37.89,63.61,35.23,71.37,50.5
97.06,60.31,52.04,47.84,51.03,69.37
80.45,81.17,70.87,36.85,60.48,73.99
77.59,73.63,55.4,38.29,77.82,69.14
67.22,49.12,83.98,97.46,80.67,68.93
87.15,62.38,81.16,68.79,86.0,72.51
92.01,83.9,73.69,47.89,87.3,81.32
65.93,54.62,53.79,69.54,73.17,63.82
78.89,91.15,41.59,39.44,98.57,77.07
53.8,59.6,71.2,69.95,63.81,60.52
85.08,83.22,81.34,56.76,87.57,78.49
61.28,70.35,45.96,46.96,86.45,67.18
74.77,31.1,72.91,63.0,81.95,53.28
78.73,81.72,67.09,40.14,66.43,66.5
67.9,96.28,76.67,75.41,91.77,79.76
92.48,42.76,78.84,91.48,60.35,65.52
70.77,67.62,53.7,86.7,52.46,66.71
48.61,63.72,51.15,89.51,85.74,61.18
76.24,91.4,48.52,56.79,99.77,77.46
72.96,56.2,62.34,82.09,48.98,62.23
46.27,83.49,64.27,70.42,97.21,66.52
65.11,98.58,50.23,98.87,78.66,81.5
94.59,68.31,94.85,75.24,72.64,81.37
90.02,93.77,44.6,37.8,94.26,80.61
91.43,42.81,69.99,99.16,51.69,73.09
99.27,38.23,70.97,49.35,65.47,65.71
76.44,31.27,87.11,41.58,82.96,62.21
95.79,36.99,59.62,74.86,61.49,68.04
78.91,32.72,72.82,63.74,77.21,58.28
99.69,82.95,86.35,79.41,97.82,87.76
49.29,72.9,60.38,46.54,57.73,64.39
67.11,64.35,46.27,62.17,93.22,60.4
98.29,75.14,47.51,57.05,49.2,75.39
87.68,73.86,61.36,88.8,45.66,76.15
76.66,40.06,89.01,55.8,46.94,62.54
58.01,55.12,41.34,84.94,63.05,62.41
96.88,30.08,98.23,60.83,85.9,69.54
64.85,84.18,67.61,48.79,67.29,68.41
